id;updated;type;band;mode;network;network_id;district;call;city;channel;output;tx_shift;access;status;lat;lng;locator;masl;magl;watt_pep;dir;ant;backup
1;"";"Repeater";2;"FM";"";"";"LA";"LA5PR";"Firda / Høyanger";"RV48";145.6;-0.6;"";"QRT";61.2292;6.0416;"JP31AF";950;"";"";"";"";0
2;"";"Repeater";2;"FM";"";"";"LA";"LA6AR";"Sandnessjøen / Brasøy";"RV58";145.725;-0.6;"";"QRV";65.9143;12.1817;"JP65CV";20;10;30;"";"Diamond X-300";0
3;"2023-04-16";"Repeater";2;"FM";"";"";"LA";"LA6KR";"Kristiansand / Hestheia";"RV60";145.75;-0.6;123;"QRV";58.2189;7.8522;"JO38WF";300;98.5;"";"Omni";"";2
5;"";"Beacon";6;"CW";"";"";"OH5";"OH5RAC";"Kuusankoski";"";50.033;"";"";"";60.875;26.5833;"KP30HV";157;"";20;"200°";"2dBd";0
6;"";"Beacon";"";"CW";"";"";"OH9";"OH9SHF";"Pirttikoski";"";1296.945;"";"";"";66.33;27.16;"KP36OI";236;"";30;"200°";"10 dBd";0
7;"";"Beacon";"";"CW";"";"";"OZ";"OZ2VHF";"Esbjerg";"";"";"";"";"";55.4792;8.4583;"JO45FL";"";"";1;"0°/180°";"Horiz Dipole";0
8;"";"Repeater";2;"FM";"";"";"OZ";"OZ9REB";"Roret";"RV56";145.7;-0.6;82.5;"QRV";55.729;12.459;"JO65FR";43;40;15;"";"";0
10;"";"Repeater";70;"FM";"";"";6;"SA6AR/R";"Angered";"RU394";434.925;-2;1750;"QRV";57.8125;12.0417;"JO67AT";"";"";"";"";"";0
13;"";"Repeater";2;"FM";"";"";2;"SK2AU/R";"Arjeplog / Galtispouda";"RV56";145.7;-0.6;1750;"QRV";66.11;17.9312;"JP86XC";805;12;32;"";"Aerial OY AV1431 (2 stack 7dBi)";0
14;"2016-05-15";"Repeater";2;"FM";"";"";2;"SK2AU/R";"Skellefteå";"RV56";145.7;-0.6;1750;"QRV";64.774;20.95;"KP04LS";248;125;75;"";"Aerial OY AV1431 (2 stack 7dBi)";0
15;"2023-12-28";"Repeater";2;"FM";"";"";2;"SK2RIU";"Vännäs / Granlundsberget";"RV58";145.725;-0.6;1750;"QRV";63.9;19.81;"JP93VU";250;100;25;"Omni";"Aerial oy AV1431, 7dBi";1
