Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
32,NYNASH,145.7125,-,0.6,Tone,123.0,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SKØBJ/R | RV57 | Nynäshamn | D0,,,,
33,SODERT,145.65,-,0.6,Tone,77.0,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SKØMG | RV52 | Södertälje | D0,,,,
34,HANING,145.6875,-,0.6,Tone,77.0,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SKØQO/R | RV55 | Haninge / Brandbergen | D0,,,,
35,STOCKH,145.625,-,0.6,Tone,77.0,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SKØRIX | RV50 | Stockholm | SvxReflector | D0,,,,
36,VASTBE,145.6,-,0.6,Tone,123.0,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SLØZS/R | RV48 | Västberga | D0,,,,
37,STOCK1,145.725,-,0.6,Tone,77.0,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SKØNN/R | RV58 | Stockholm | SvxReflector | D0,,,,
38,VALLEN,145.675,-,0.6,Tone,77.0,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SKØYZ | RV54 | Vallentuna | D0,,,,
39,INGARO,145.775,-,0.6,Tone,77.0,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SKØMM/R | RV62 | Ingarö | SvxReflector / Echolink | D0,,,,
40,ENDRE,145.775,-,0.6,Tone,218.1,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK1RGU | RV62 | Endre | D1,,,,
41,LYCKSE,145.775,-,0.6,Tone,107.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2LY/R | RV62 | Lycksele | D2,,,,
42,VANNAS,145.725,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2RIU | RV58 | Vännäs / Granlundsberget | D2,,,,
43,UMEARO,145.65,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2RLJ | RV52 | Umeå / Rödberget | D2,,,,
44,SKELLE,145.625,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2RYI | RV50 | Skellefteå / Åsträsk | D2,,,,
45,STORUM,145.725,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2RMR | RV58 | Storuman | D2,,,,
46,ARJEPL,145.7,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2AU/R | RV56 | Arjeplog / Galtispouda | D2,,,,
47,SKELL1,145.7,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2AU/R | RV56 | Skellefteå | D2,,,,
48,SKELL2,145.5875,-,0.6,Tone,107.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2AU/R | RV47 | Skellefteå | Brandmeister | D2,,,,
49,ALVSBY,145.675,-,0.6,Tone,107.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2RWJ | RV54 | Älvsbyn | SvxReflector | D2,,,,
50,PITEA,145.6,-,0.6,Tone,107.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2AZ/R | RV48 | Piteå | D2,,,,
51,BODEN,145.625,-,0.6,Tone,107.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2CI | RV50 | Boden | D2,,,,
52,LULEA,145.65,-,0.6,Tone,107.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2DR/R | RV52 | Luleå | D2,,,,
53,KALIXR,145.725,-,0.6,Tone,107.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2HG/R5 | RV58 | Kalix / Raggdynan | Brandmeister | D2,,,,
54,SESKAR,145.675,-,0.6,Tone,107.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2HG/R3 | RV54 | Seskarö | Brandmeister | D2,,,,
55,KIRUNA,145.625,-,0.6,Tone,107.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK2RFR | RV50 | Kiruna | Kalixlinjen | D2,,,,
56,SANDVI,145.7,-,0.6,Tone,127.3,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3GK/R | RV56 | Sandviken / Kungsberget | SvxReflector | D3,,,,
57,BOLLNA,145.65,-,0.6,Tone,127.3,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3RET | RV52 | Bollnäs / Arbrå | D3,,,,
