pack_id,source_id,enabled_default,service,band,category,tags,type,label,channel,name_hint,rx_frequency,tx_frequency,duplex,offset,mode,tstep,tone,rtone_freq,ctone_freq,dtcs_code,dtcs_polarity,skip,tx_allowed,rx_only,license_note,comment,source,source_url,inferred_from_range
se_amateur_2m_70cm,se-70cm-cw-act-43205,false,amateur,70cm,weak_signal_activity,weak_signal_activity|activity_center|cw,Static,CW ACT,,CW ACT,432.050000,432.050000,,0.000000,CW,5.0,,,,,,,true,false,Amatörradiocertifikat krävs för sändning; kontrollera aktuell bandplan och lokal praxis.,Static bandplan | 70cm | weak_signal_activity | CW ACT | 432.050 Telegrafi aktivitetscenter,"SSA Bandplan 432-438 MHz, utgåva 2020-11-26, SM7GVF",https://www.iaru-r1.org/about-us/committees-and-working-groups/vhf-uhf-shf-committee-c5/,false
se_amateur_2m_70cm,se-70cm-ssb-act-4322,false,amateur,70cm,weak_signal_activity,weak_signal_activity|activity_center|ssb,Static,SSB ACT,,SSB ACT,432.200000,432.200000,,0.000000,USB,5.0,,,,,,,true,false,Amatörradiocertifikat krävs för sändning; kontrollera aktuell bandplan och lokal praxis.,Static bandplan | 70cm | weak_signal_activity | SSB ACT | 432.200 SSB aktivitetscenter,"SSA Bandplan 432-438 MHz, utgåva 2020-11-26, SM7GVF",https://www.iaru-r1.org/about-us/committees-and-working-groups/vhf-uhf-shf-committee-c5/,false
se_amateur_2m_70cm,se-70cm-mw-tb-43235,false,amateur,70cm,microwave_talkback,activity_center|microwave_talkback,Static,MW TB,,MW TB,432.350000,432.350000,,0.000000,USB,5.0,,,,,,,true,false,Amatörradiocertifikat krävs för sändning; kontrollera aktuell bandplan och lokal praxis.,Static bandplan | 70cm | microwave_talkback | MW TB | 432.350 Mikrovågor talk back,"SSA Bandplan 432-438 MHz, utgåva 2020-11-26, SM7GVF",https://www.iaru-r1.org/about-us/committees-and-working-groups/vhf-uhf-shf-committee-c5/,false
se_amateur_2m_70cm,se-70cm-ms-mgm-43237,false,amateur,70cm,weak_signal_activity,weak_signal_activity|activity_center|meteor_scatter|mgm,Static,MS MGM,,MS MGM,432.370000,432.370000,,0.000000,NFM,5.0,,,,,,,true,false,Amatörradiocertifikat krävs för sändning; kontrollera aktuell bandplan och lokal praxis.,Static bandplan | 70cm | weak_signal_activity | MS MGM | 432.370 MGM meteorscatter centerfrekvens,"SSA Bandplan 432-438 MHz, utgåva 2020-11-26, SM7GVF",https://www.iaru-r1.org/about-us/committees-and-working-groups/vhf-uhf-shf-committee-c5/,false
se_amateur_2m_70cm,se-70cm-aprs-4325,true,amateur,70cm,aprs,packet|aprs,Static,APRS,,APRS,432.500000,432.500000,,0.000000,NFM,5.0,,,,,,,true,false,Amatörradiocertifikat krävs för sändning; kontrollera aktuell bandplan och lokal praxis.,Static bandplan | 70cm | aprs | APRS | 432.500 APRS ny frekvens,"SSA Bandplan 432-438 MHz, utgåva 2020-11-26, SM7GVF",https://www.iaru-r1.org/about-us/committees-and-working-groups/vhf-uhf-shf-committee-c5/,false
se_amateur_2m_70cm,se-70cm-u272-4334000,true,amateur,70cm,simplex,simplex|sstv|afsk,Static,U272,U272,U272,433.400000,433.400000,,0.000000,NFM,5.0,,,,,,,true,false,Amatörradiocertifikat krävs för sändning; kontrollera aktuell bandplan och lokal praxis.,Static bandplan | 70cm | simplex | U272 | U272 | Simplex 12.5 kHz kanalavstånd U272-U286; SSTV FM/AFSK,"SSA Bandplan 432-438 MHz, utgåva 2020-11-26, SM7GVF",https://www.iaru-r1.org/about-us/committees-and-working-groups/vhf-uhf-shf-committee-c5/,false
se_amateur_2m_70cm,se-70cm-u273-4334125,true,amateur,70cm,simplex,simplex,Static,U273,U273,U273,433.412500,433.412500,,0.000000,NFM,5.0,,,,,,,true,false,Amatörradiocertifikat krävs för sändning; kontrollera aktuell bandplan och lokal praxis.,Static bandplan | 70cm | simplex | U273 | U273 | Simplex 12.5 kHz kanalavstånd U272-U286,"SSA Bandplan 432-438 MHz, utgåva 2020-11-26, SM7GVF",https://www.iaru-r1.org/about-us/committees-and-working-groups/vhf-uhf-shf-committee-c5/,false
se_amateur_2m_70cm,se-70cm-u274-4334250,true,amateur,70cm,simplex,simplex,Static,U274,U274,U274,433.425000,433.425000,,0.000000,NFM,5.0,,,,,,,true,false,Amatörradiocertifikat krävs för sändning; kontrollera aktuell bandplan och lokal praxis.,Static bandplan | 70cm | simplex | U274 | U274 | Simplex 12.5 kHz kanalavstånd U272-U286,"SSA Bandplan 432-438 MHz, utgåva 2020-11-26, SM7GVF",https://www.iaru-r1.org/about-us/committees-and-working-groups/vhf-uhf-shf-committee-c5/,false
se_amateur_2m_70cm,se-70cm-u275-4334375,true,amateur,70cm,simplex,simplex,Static,U275,U275,U275,433.437500,433.437500,,0.000000,NFM,5.0,,,,,,,true,false,Amatörradiocertifikat krävs för sändning; kontrollera aktuell bandplan och lokal praxis.,Static bandplan | 70cm | simplex | U275 | U275 | Simplex 12.5 kHz kanalavstånd U272-U286,"SSA Bandplan 432-438 MHz, utgåva 2020-11-26, SM7GVF",https://www.iaru-r1.org/about-us/committees-and-working-groups/vhf-uhf-shf-committee-c5/,false
se_amateur_2m_70cm,se-70cm-u276-4334500,true,amateur,70cm,simplex,simplex|digital_voice_calling,Static,U276,U276,U276,433.450000,433.450000,,0.000000,NFM,5.0,,,,,,,true,false,Amatörradiocertifikat krävs för sändning; kontrollera aktuell bandplan och lokal praxis.,Static bandplan | 70cm | simplex | U276 | U276 | Simplex 12.5 kHz kanalavstånd U272-U286; DV anrop,"SSA Bandplan 432-438 MHz, utgåva 2020-11-26, SM7GVF",https://www.iaru-r1.org/about-us/committees-and-working-groups/vhf-uhf-shf-committee-c5/,false
